person,trial,times,events,block
1,1,1013,targOn,8
1,1,1047,targOff,8
1,2,950,dotRemoved,8
1,2,1066,targOn,8
1,2,1101,targOff,8
1,3,833,dotRemoved,8
1,3,950,targOn,8
1,3,984,targOff,8
1,4,1233,dotRemoved,8
1,4,1349,targOn,8
1,4,1383,targOff,8
1,5,882,dotRemoved,8
1,5,998,targOn,8
1,5,1032,targOff,8
1,6,1032,dotRemoved,8
1,6,1148,targOn,8
1,6,1183,targOff,8
1,7,1083,dotRemoved,8
1,7,1199,targOn,8
1,7,1233,targOff,8
1,8,1083,dotRemoved,8
1,8,1199,targOn,8
1,8,1233,targOff,8
1,9,1066,dotRemoved,8
1,9,1183,targOn,8
1,9,1217,targOff,8
1,10,866,dotRemoved,8
1,10,983,targOn,8
1,10,1017,targOff,8
1,11,1233,dotRemoved,8
1,11,1350,targOn,8
1,11,1384,targOff,8
1,12,1249,dotRemoved,8
1,12,1365,targOn,8
1,12,1399,targOff,8
1,13,1150,dotRemoved,8
1,13,1266,targOn,8
1,13,1300,targOff,8
1,14,833,dotRemoved,8
1,14,949,targOn,8
1,14,984,targOff,8
1,16,1183,dotRemoved,8
1,16,1300,targOn,8
1,16,1334,targOff,8
1,17,1266,dotRemoved,8
1,17,1383,targOn,8
1,17,1417,targOff,8
1,18,966,dotRemoved,8
1,18,1083,targOn,8
1,18,1117,targOff,8
1,19,934,dotRemoved,8
1,19,1050,targOn,8
1,19,1084,targOff,8
1,20,849,dotRemoved,8
1,20,966,targOn,8
1,20,1000,targOff,8
1,21,949,dotRemoved,8
1,21,1066,targOn,8
1,21,1100,targOff,8
1,22,1167,dotRemoved,8
1,22,1283,targOn,8
1,22,1317,targOff,8
1,23,1183,dotRemoved,8
1,23,1300,targOn,8
1,23,1334,targOff,8
1,24,1200,dotRemoved,8
1,24,1316,targOn,8
1,24,1350,targOff,8
1,25,914,dotRemoved,8
1,25,1030,targOn,8
1,25,1064,targOff,8
1,26,783,dotRemoved,8
1,26,899,targOn,8
1,26,934,targOff,8
1,27,883,dotRemoved,8
1,27,999,targOn,8
1,27,1034,targOff,8
1,28,816,dotRemoved,8
1,28,932,targOn,8
1,28,967,targOff,8
1,29,846,dotRemoved,8
1,29,962,targOn,8
1,29,996,targOff,8
1,30,895,dotRemoved,8
1,30,1012,targOn,8
1,30,1046,targOff,8
1,31,929,dotRemoved,8
1,31,1045,targOn,8
1,31,1079,targOff,8
1,32,1249,dotRemoved,8
1,32,1366,targOn,8
1,32,1400,targOff,8
1,33,916,dotRemoved,8
1,33,1032,targOn,8
1,33,1067,targOff,8
1,34,1082,dotRemoved,8
1,34,1199,targOn,8
1,34,1233,targOff,8
1,35,1183,dotRemoved,8
1,35,1299,targOn,8
1,35,1333,targOff,8
1,36,883,dotRemoved,8
1,36,999,targOn,8
1,36,1033,targOff,8
1,37,814,dotRemoved,8
1,37,930,targOn,8
1,37,965,targOff,8
1,38,929,dotRemoved,8
1,38,1045,targOn,8
1,38,1080,targOff,8
1,39,783,dotRemoved,8
1,39,899,targOn,8
1,39,933,targOff,8
1,40,916,dotRemoved,8
1,40,1033,targOn,8
1,40,1067,targOff,8
1,1,1124,dotRemoved,9
1,1,1232,targOn,9
1,1,1266,targOff,9
1,2,1224,dotRemoved,9
1,2,1249,targOn,9
1,2,1284,targOff,9
1,3,1157,dotRemoved,9
1,3,1183,targOn,9
1,3,1216,targOff,9
1,4,908,dotRemoved,9
1,4,933,targOn,9
1,4,967,targOff,9
1,5,1221,dotRemoved,9
1,5,1247,targOn,9
1,5,1281,targOff,9
1,6,941,dotRemoved,9
1,6,966,targOn,9
1,6,1000,targOff,9
1,7,1257,dotRemoved,9
1,7,1283,targOn,9
1,7,1317,targOff,9
1,8,1207,dotRemoved,9
1,8,1232,targOn,9
1,8,1266,targOff,9
1,9,920,dotRemoved,9
1,9,945,targOn,9
1,9,979,targOff,9
1,10,1058,dotRemoved,9
1,10,1083,targOn,9
1,10,1117,targOff,9
1,11,906,dotRemoved,9
1,11,931,targOn,9
1,11,965,targOff,9
1,12,825,dotRemoved,9
1,12,850,targOn,9
1,12,884,targOff,9
1,14,940,dotRemoved,9
1,14,965,targOn,9
1,14,1000,targOff,9
1,15,1007,dotRemoved,9
1,15,1066,targOn,9
1,15,1100,targOff,9
1,16,973,dotRemoved,9
1,16,1032,targOn,9
1,16,1066,targOff,9
1,17,1257,dotRemoved,9
1,17,1350,targOn,9
1,17,1384,targOff,9
1,18,1091,dotRemoved,9
1,18,1150,targOn,9
1,18,1184,targOff,9
1,19,1073,dotRemoved,9
1,19,1132,targOn,9
1,19,1166,targOff,9
1,20,957,dotRemoved,9
1,20,1049,targOn,9
1,20,1083,targOff,9
1,21,890,dotRemoved,9
1,21,982,targOn,9
1,21,1016,targOff,9
1,22,841,dotRemoved,9
1,22,932,targOn,9
1,22,967,targOff,9
1,23,1041,dotRemoved,9
1,23,1133,targOn,9
1,23,1167,targOff,9
1,24,1069,dotRemoved,9
1,24,1144,targOn,9
1,24,1178,targOff,9
1,25,1238,dotRemoved,9
1,25,1330,targOn,9
1,25,1364,targOff,9
1,26,841,dotRemoved,9
1,26,916,targOn,9
1,26,951,targOff,9
1,27,1035,dotRemoved,9
1,27,1127,targOn,9
1,27,1162,targOff,9
1,28,1007,dotRemoved,9
1,28,1099,targOn,9
1,28,1133,targOff,9
1,29,840,dotRemoved,9
1,29,932,targOn,9
1,29,966,targOff,9
1,30,1024,dotRemoved,9
1,30,1116,targOn,9
1,30,1151,targOff,9
1,31,787,dotRemoved,9
1,31,879,targOn,9
1,31,913,targOff,9
1,34,941,dotRemoved,9
1,34,1033,targOn,9
1,34,1067,targOff,9
1,35,1175,dotRemoved,9
1,35,1267,targOn,9
1,35,1301,targOff,9
1,36,888,dotRemoved,9
1,36,980,targOn,9
1,36,1014,targOff,9
1,37,1057,dotRemoved,9
1,37,1149,targOn,9
1,37,1183,targOff,9
1,38,875,dotRemoved,9
