person blockN blockType trial flankerSide targetSide respG respC targOri saccStart targOnTimeStamp targOffTimeStamp
10 12 2 17 inner right 1 up left NaN 1.581347 1.614699
10 12 2 18 outer left 1 up up NaN 1.581361 1.614765
10 12 2 19 outer left 0 right right NaN 1.181292 1.214552
10 12 2 20 none left 1 right right NaN 1.264610 1.297957
10 12 2 21 outer right 1 up right NaN 1.431187 1.464443
10 12 2 22 inner left 1 right right NaN 1.264694 1.297943
10 12 2 23 inner left 1 right down NaN 1.598164 1.631495
10 12 2 24 outer right 1 down up NaN 1.431215 1.464489
10 12 2 25 inner right 0 right right NaN 1.348015 1.381282
10 12 2 26 none left 1 right right NaN 1.264654 1.297863
10 12 2 27 inner left NaN NaN left NaN 0.000000 0.000000
10 12 2 28 inner left 1 right right NaN 1.431405 1.464721
10 12 2 29 inner right 1 right left NaN 1.593334 1.626672
10 12 2 30 none left 1 left left NaN 1.597953 1.631148
10 12 2 31 inner right 1 right right NaN 1.497691 1.531017
10 12 2 32 none left 1 left left NaN 1.181341 1.214620
10 12 2 33 outer left 1 right down NaN 1.181347 1.214660
10 12 2 34 none left 1 up up NaN 1.348696 1.382026
10 12 2 35 inner right 1 left down NaN 1.264714 1.297960
10 12 2 36 outer left 1 right right NaN 1.514628 1.547852
10 13 1 1 none right 0 left left 15833.825100 1.514533 1.547814
10 13 1 2 inner left 1 right down 0.241548 2.931366 2.964636
10 13 1 3 outer right 1 up down 0.658391 2.764661 2.798004
10 13 1 4 none left 1 up down 0.241588 2.014688 2.047949
10 13 1 5 outer right 1 down right 0.241561 1.681302 1.714633
10 13 1 6 inner right 1 down down 0.708215 1.348024 1.381311
10 13 1 7 outer left NaN NaN up NaN 2.014680 2.047958
10 13 1 8 outer right 1 right left 0.324803 1.597896 1.631167
10 13 1 9 none left 1 left down 0.158226 1.764700 1.798029
10 13 1 10 none left NaN NaN left NaN 1.514526 1.547868
10 13 1 11 outer left 1 down up 0.158237 1.432106 1.465365
10 13 1 12 none right 0 left left 0.074770 1.347978 1.381285
10 13 1 13 inner right 1 left up 0.074927 1.431328 1.464582
10 13 1 14 outer left 0 down down 0.074916 1.431202 1.464510
